filename,param_0,param_1,param_2,param_3
00001.ARW,6953.2744140625,6871.0029296875,2142.85498046875,1419.13330078125
00002.ARW,6762.99267578125,6720.2109375,2134.69775390625,1420.6416015625
00003.ARW,5431.44384765625,5387.22265625,2135.138671875,1420.943359375
00004.ARW,4069.892333984375,4058.2734375,2129.54833984375,1421.5675048828125
00005.ARW,3820.120361328125,3819.10302734375,2127.05419921875,1421.6871337890625
00006.ARW,3533.787109375,3525.4384765625,2125.283203125,1424.15869140625
00007.ARW,2896.236083984375,2874.175537109375,2128.1962890625,1426.88232421875
