filename,param_0,param_1,param_2,param_3
00001.ARW,5895.01220703125,5806.9140625,2137.249755859375,1427.38427734375
00002.ARW,7297.03271484375,7261.69287109375,2133.70703125,1419.1661376953125
00003.ARW,6673.048828125,6685.4638671875,2136.751953125,1418.752197265625
00004.ARW,5783.7060546875,5754.12451171875,2130.26708984375,1424.9049072265625
00005.ARW,5352.97216796875,5299.74755859375,2131.00341796875,1424.139892578125
00006.ARW,3824.90673828125,3797.87353515625,2131.96630859375,1427.2396240234375
00007.ARW,2838.2255859375,2811.295166015625,2126.664306640625,1425.3494873046875
