filename,param_0,param_1,param_2,param_3
00001.ARW,7493.103515625,7370.892578125,2144.882080078125,1418.4075927734375
00002.ARW,7933.921875,7785.13720703125,2136.19091796875,1417.538818359375
00003.ARW,5939.35302734375,5850.72509765625,2135.456787109375,1419.73193359375
00004.ARW,4597.0927734375,4557.62255859375,2130.114990234375,1421.3992919921875
00005.ARW,4044.66650390625,4015.699951171875,2126.728759765625,1421.585205078125
00006.ARW,3598.478515625,3577.302001953125,2126.222412109375,1423.974365234375
00007.ARW,2984.01513671875,2956.3017578125,2128.86376953125,1426.8759765625
